"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2503","Create goal / Positive tests","GET Goals Tests","Sat May 31 15:31:40 EEST 2025","passed","Sat May 31 15:31:43 EEST 2025","","","",""
"","1382","Update goal / Positive tests","GET Goals Tests","Sat May 31 15:31:51 EEST 2025","passed","Sat May 31 15:31:53 EEST 2025","","","",""
"","2213","GET goal / Positive tests","GET Goals Tests","Sat May 31 15:31:45 EEST 2025","passed","Sat May 31 15:31:48 EEST 2025","","","",""
"","3454","GET goal / Negative tests","GET Goals Tests","Sat May 31 15:31:48 EEST 2025","passed","Sat May 31 15:31:51 EEST 2025","","","",""
"","3394","Update goal / Negative tests","GET Goals Tests","Sat May 31 15:31:53 EEST 2025","passed","Sat May 31 15:31:56 EEST 2025","","","",""
"","2440","Create goal / Negative tests","GET Goals Tests","Sat May 31 15:31:43 EEST 2025","passed","Sat May 31 15:31:45 EEST 2025","","","",""
"","2651","Delete goal / Positive tests","GET Goals Tests","Sat May 31 15:31:56 EEST 2025","passed","Sat May 31 15:31:59 EEST 2025","","","",""
"","4679","GET goals / Negative tests","GET Goals Tests","Sat May 31 15:31:36 EEST 2025","passed","Sat May 31 15:31:40 EEST 2025","","","",""
"","3955","Delete goal / Negative tests","GET Goals Tests","Sat May 31 15:31:59 EEST 2025","passed","Sat May 31 15:32:03 EEST 2025","","","",""
"","1729","GET goals / Positive tests","GET Goals Tests","Sat May 31 15:31:34 EEST 2025","failed","Sat May 31 15:31:36 EEST 2025","","","",""
